key,0,1,2,3,4,5,6
21,"Boarskin Himantes","","","Boarskin Harness","Fingerless Boarskin Gloves","Boarskin Subligar","Steel-plated Caligae"
22,"Cobalt Claws","","","Raptorskin Harness","Fingerless Raptorskin Gloves","Raptorskin Subligar","Cobalt-plated Caligae"
23,"Giantsgall Claws","","","Fistfighter's Jackcoat","Fistfighter's Gloves","Fistfighter's Breeches","Fistfighter's Jackboots"
24,"Fists of Crags","","","Shirt of the Divine Hero","Cuffs of the Divine Hero","Sarouel of the Divine Hero","Boots of the Divine Hero"
25,"Direwolf Claws","","","Direwolf Shirt of Striking","Direwolf Gloves of Striking","Direwolf Skirt of Striking","Direwolf Thighboots of Striking"
26,"Heavy Steel Lance","","","Steel Scale Mail","Steel Scale Fingers","Toadskin Breeches","Steel Scale Greaves"
27,"Hart Guisarme","","","Tortoiseshell Scale Mail","Tortoiseshell Scale Fingers","Raptorskin Breeches","Tortoiseshell Scale Greaves"
28,"Giantsgall Trident","","","Darklight Cuirass","Darklight Gauntlets","Darklight Trousers","Darklight Sollerets"
29,"The Spear of Crags","","","Cuirass of Divine Wisdom","Vambraces of Divine Wisdom","Breeches of Divine Wisdom","Sabatons of Divine Wisdom"
30,"Direwolf Trident","","","Direwolf Cuirass of Maiming","Direwolf Gauntlets of Maiming","Direwolf Trousers of Maiming","Direwolf Sabatons of Maiming"
31,"Oak Radical","","","Loyalist's Bliaud","Acolyte's Halfgloves","Battlemage's Breeches","Battlemage's Crakows"
32,"Pastoral Mahogany Cane","","","Imperial Operative Dalmatica","Warlock's Ringbands","Mage's Chausses","Battlemage's Crakows"
33,"Alkalurops","","","Darklight Cowl of Healing","Darklight Gloves of Healing","Darklight Breeches of Healing","Darklight Boots of Healing"
34,"The Cane of Crags","","","Royal Vest","Royal Celestial Gloves","Royal Breeches","Royal Shoes"
35,"Direwolf Cane","","","Augmented Cashmere Robe of Healing","Saurian Gloves of Healing","Cashmere Skirt of Healing","Saurian Boots of Healing"
36,"Decorated Silver Scepter","Decorated Buckler","","Battlemage's Robe","Battlemage's Gloves","Battlemage's Breeches","Battlemage's Crakows"
37,"Ivory Staff","","","Dark Divinity Feldr","Dark Divinity Hanzkar","Dark Divinity Spjarrar","Dark Divinity Skor"
38,"Astrolabe","","","Darklight Cowl of Casting","Darklight Gloves of Casting","Darklight Breeches of Casting","Darklight Boots of Casting"
39,"The Cudgel of Crags","","","Robe of Divine Death","Halfgloves of Divine Death","Tonban of Divine Death","Crakows of Divine Death"
40,"Direwolf Longstaff","","","Augmented Cashmere Robe of Casting","Saurian Gloves of Casting","Cashmere Breeches of Casting","Saurian Crakows of Casting"
41,"Book of Silver","","","Harlequin's Acton","Acolyte's Halfgloves","Harlequin's Tights","Torturer's Duckbills"
42,"Embossed Book of Electrum","","","Warlock's Robe","Militia Ringbands","Warlock's Tights","Militia Duckbills"
43,"Deus Ex Verbis","","","Vanya Robe of Casting","Vanya Gloves of Casting","Vanya Breeches of Casting","Vanya Crakows"
44,"The Greater Key of Titan","","","Crimson Vest","Crimson Celestial Gloves","Crimson Breeches","Crimson Shoes"
45,"Direwolf Grimoire of Casting","","","Direwolf Robe of Casting","Direwolf Gloves of Casting","Direwolf Breeches of Casting","Direwolf Crakows of Casting"
46,"","","Hood of the Black Griffin","Robe of the Black Griffin","Gloves of the Black Griffin","Chausses of the Black Griffin","Boots of the Black Griffin"
47,"","","Hood of the White Griffin","Robe of the White Griffin","Gloves of the White Griffin","Chausses of the White Griffin","Boots of the White Griffin"
48,"","","Silver Spectacles","Best Man's Jacket","","Best Man's Slacks","Best Man's Gaiters"
49,"","","Reindeer Antlers","Reindeer Suit","","",""
50,"","","Dried Yellow Oldrose","Spring Dress","Coronal Wristband","Patrician's Bottoms","Spring Dress Shoes"
51,"","","Snowman Head","Snowman Suit","Snowman Mitts","",""
52,"","","Bunny Crown","Bunny Bustier","Bunny Loops","Bunny Tights","Bunny Pumps"
53,"","","Orthodox Tricorne of Striking","Chimerical Felt Tabard of Scouting","Thavnairian Gloves","Serpentskin Brais of Striking","Serpentskin Thighboots of Scouting"
54,"","","Mask of Divine Wisdom","Coliseum Galerus","Claws of the Beast","Coliseum Subligar","Wolfseye Thighboots"
55,"","","","","","Summer Evening Trunks",""
56,"","","Hallowed Chestnut Mask of Healing","Hallowed Ramie Doublet of Healing","Dragonskin Gloves of Healing","Hallowed Ramie Gaskins of Healing","Dragonskin Boots of Healing"
57,"","","Silver Tricorne","Kirimu Coat","Titanium Gauntlets of Fending","Chimerical Felt Breeches of Fending","Titanium Sollerets of Fending"
