key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
21,"DynamicEventType#1","War Beasts",48,20,True,8664688,8664765,"A New Playing Field",0,"DynamicEventSingleBattle#0","","With Diremite and Main","The IVth Legion's beastmasters have a penchant for collecting the most fearsome creatures known to the realm. And now they have unleashed their prized catch from the Burn to turn back the Resistance.",0,0,0,0,0
22,"DynamicEventType#3","IVth Legion Cavalier",48,20,True,8664689,8664766,"Where Eagles Roost",0,"DynamicEventSingleBattle#0","","Here Comes the Cavalry","The IVth Legion's reinforcements have arrived in the form of unmanned magitek horsemen. They must be stopped if the Resistance is to advance.",0,0,0,0,0
23,"DynamicEventType#2","Solo Engagement",1,20,True,8664690,8664767,"Where Eagles Roost",0,"DynamicEventSingleBattle#5","","Head of the Snake","You at last stand face-to-face with Menenius sas Lanatus, commanding officer of the IVth Legion's forces in Bozja. Defeat him, and you may deal the heaviest of blows to the imperials' morale.",0,0,0,0,0
24,"DynamicEventType#1","Mage Detachment",48,20,True,8664691,8664768,"Where Eagles Roost",0,"DynamicEventSingleBattle#0","","There Would Be Blood","An imperial mage detachment has called down Hanbi, bringer of ruin, to expunge the Resistance from the plateaus of Zadnor. This otherworldly being demands a tribute of blood, and its thirst is insatiable.",0,0,0,0,0
25,"DynamicEventType#1","Mage Detachment",48,20,True,8664692,8664769,"Where Eagles Roost",0,"DynamicEventSingleBattle#0","","Never Cry Wolf","The mighty Hrodvitnir descends upon the battlefield, a beast of legend known to leave naught but icy ruin in its wake. Can the Resistance escape the grip of its gelid jaws?",0,0,0,0,0
26,"DynamicEventType#1","IVth Legion Zealot",48,20,True,8664693,8664770,"Where Eagles Roost",0,"DynamicEventSingleBattle#0","","Time to Burn","A creature of flame, thought to exist outside the boundaries of time, this 4th-make Belias is bound to the IVth Legion's mages, and it is compelled now to reduce the Resistance to ashes.",0,0,0,0,0
27,"DynamicEventType#3","Magitek Unit",48,20,True,8664694,8664771,"In Their Shadow",0,"DynamicEventSingleBattle#0","","Lean, Mean, Magitek Machines","Sicinius has a near-limitless supply of mechanical horrors to assail the Resistance, and it is clear he spared no effort in building this latest entourage of magitek weapons to bar their path.",0,0,0,0,0
28,"DynamicEventType#1","War Beasts",48,20,True,8664695,8664772,"In Their Shadow",0,"DynamicEventSingleBattle#0","","Worn to a Shadow","The IVth Legion has grown woefully desperate to unleash this beast upon the Resistance. It is said the alkonost casts no shadow until it has killed a man and claims theirs as its own. Thankfully for the alkonost, it now has plenty to choose from.",0,0,0,0,0
29,"DynamicEventType#1","IVth Legion Zealot",48,20,True,8664696,8664773,"A New Playing Field",0,"DynamicEventSingleBattle#0","","A Familiar Face","Auracite taken from the High Seraph Ultima is said to grant its wielder their heart's desire...for a price. A price the IVth Legion Zealots paid gladly, confident this unspeakable horror will put an end to the Resistance.",0,0,0,0,0
30,"DynamicEventType#1","Mage Detachment",48,20,True,8664697,8664774,"In Their Shadow",0,"DynamicEventSingleBattle#0","","Looks to Die For","Ayida's scales are said to be so resplendent, so beautiful, that a man could die of bliss from the mere sight of them. Her victims, were they still alive, would assure you it was her bone-crushing strength and venomous bite that did them in.",0,0,0,0,0
31,"DynamicEventType#2","Solo Engagement",1,20,True,8664698,8664775,"In Their Shadow",0,"DynamicEventSingleBattle#6","","Taking the Lyon's Share","Lyon has grown restless waiting in the wings, and would see the Resistance brought low by his own hands. Has anyone the strength to tame this feral beast once and for all?",0,0,0,0,0
32,"DynamicEventType#4","Motley Crew",48,20,True,0,0,"March of the Bloody Queen",5,"DynamicEventSingleBattle#0","The assault on the <Emphasis>Dalriada</Emphasis> has begun!","The Dalriada","The Dalriada's engines have failed, forcing it to the ground. The Resistance would seize this opportunity to storm the warship, and at last put an end to the imperials' presence in Bozja.",222,302,-661,0,0
33,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
34,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
35,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
36,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
37,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
38,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
39,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
40,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
41,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
42,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
43,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
44,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
45,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
46,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
47,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
48,"DynamicEventType#0","",0,0,False,0,0,,0,"DynamicEventSingleBattle#0","","","",0,0,0,0,0
