key,0,1
32.3,"The Glamour Dresser","DescriptionPage#115"
32.4,"Glamour Plates","DescriptionPage#116"
32.5,"The Armoire","DescriptionPage#117"
32.6,"Facewear","DescriptionPage#118"
32.7,"Crests","DescriptionPage#119"
33.0,"Basics of Combat","DescriptionPage#120"
33.1,"Types of Markers","DescriptionPage#121"
34.0,"","DescriptionPage#0"
35.0,"Overview","DescriptionPage#124"
35.1,"Leveling","DescriptionPage#125"
35.2,"Phantom Jobs","DescriptionPage#126"
35.3,"Party Formation","DescriptionPage#127"
35.4,"EXP Chains","DescriptionPage#128"
35.5,"Critical Encounters","DescriptionPage#129"
35.6,"The Forked Towers","DescriptionPage#130"
35.7,"Currencies","DescriptionPage#131"
35.8,"Exploring the Occult Crescent","DescriptionPage#132"
35.9,"Arcanaut's Gear","DescriptionPage#133"
36.0,"Cosmic Exploration","DescriptionPage#134"
36.1,"Stellar Missions","DescriptionPage#135"
36.2,"Mech Ops","DescriptionPage#136"
36.3,"Starward Standings","DescriptionPage#137"
36.4,"Infrastructure Index","DescriptionPage#138"
36.5,"Projects","DescriptionPage#139"
36.6,"Stellar Successes","DescriptionPage#140"
36.7,"The Cosmoliner","DescriptionPage#141"
36.8,"Cosmic Research","DescriptionPage#142"
36.9,"Cosmic Fortunes","DescriptionPage#143"
36.10,"Red Alert","DescriptionPage#144"
36.11,"Currencies","DescriptionPage#145"
