key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
8,"coeurl",0,"coeurls",0,0,1,0,0,"ModelChara#2047","MoveControl#2","",45,70,70,1,2,"MountCustomize#3","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,False,True,0,0,0,0,4,"ui/icon/004000/004005.tex",3200,60,True,0,0,60,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#42",False
9,"ahriman",0,"ahrimans",0,1,1,0,0,"ModelChara#167","MoveControl#2","",45,15,70,1,2,"MountCustomize#4","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,False,True,0,0,0,0,5,"ui/icon/004000/004004.tex",5000,100,True,0,0,50,0,"MountAction#0",True,False,False,False,False,0,0,False,False,"TiltParam#19","TiltParam#23","TiltParam#41",False,"TiltParam#44",False
10,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_CommonMonster.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
11,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_CommonMonster.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,65541,65537,65538,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
12,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_CommonMonster.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,131077,65537,65538,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
13,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_CommonMonster.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,196613,65537,65538,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
14,"",0,"",0,0,1,0,0,"ModelChara#2","MoveControl#2","",45,0,15,0,0,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,65537,0,0,-1,,0,77,False,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#30","TiltParam#23","TiltParam#41",False,"TiltParam#40",False
15,"unicorn",0,"unicorns",0,0,1,0,0,"ModelChara#2553","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,6,"ui/icon/004000/004007.tex",3000,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
16,"",0,"",0,0,1,0,0,"ModelChara#2","MoveControl#2","",45,0,15,0,0,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,196609,0,0,-1,,0,77,False,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#30","TiltParam#23","TiltParam#41",False,"TiltParam#40",False
17,"",0,"",0,0,1,0,0,"ModelChara#2","MoveControl#2","",45,0,15,0,0,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,-1,,0,77,False,0,0,70,0,"MountAction#3",False,False,False,False,False,0,0,False,False,"TiltParam#30","TiltParam#23","TiltParam#41",False,"TiltParam#40",False
18,"behemoth",0,"behemoths",0,0,1,0,0,"ModelChara#588","MoveControl#2","",45,85,85,1,2,"MountCustomize#6","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,False,True,0,0,0,0,7,"ui/icon/004000/004008.tex",3210,55,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#31","TiltParam#19","TiltParam#37",False,"TiltParam#37",False
19,"cavalry drake",0,"cavalry drakes",0,0,1,0,0,"ModelChara#592","MoveControl#2","",45,85,85,1,2,"MountCustomize#7","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,False,True,0,0,0,0,8,"ui/icon/004000/004009.tex",3220,100,True,0,0,70,0,"MountAction#4",False,True,False,False,False,0,0,False,False,"TiltParam#32","TiltParam#21","TiltParam#43",False,"TiltParam#42",False
20,"laurel goobbue",0,"laurel goobbues",0,0,1,0,0,"ModelChara#593","MoveControl#4","",45,15,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,9,"ui/icon/004000/004010.tex",1001,100,True,0,0,60,0,"MountAction#5",False,True,False,False,False,0,0,False,False,"TiltParam#8","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
21,"gilded magitek armor",0,"suits of gilded magitek armor",0,0,1,0,0,"ModelChara#2","MoveControl#2","",45,0,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_MagitekArmor.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,262145,0,0,10,"ui/icon/004000/004011.tex",10001,77,True,0,0,70,0,"MountAction#2",False,True,False,False,False,0,0,False,False,"TiltParam#30","TiltParam#23","TiltParam#41",False,"TiltParam#40",False
22,"nightmare",0,"nightmares",0,0,1,1,0,"ModelChara#594","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,11,"ui/icon/004000/004012.tex",30000,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
23,"",0,"",0,0,1,0,0,"ModelChara#592","MoveControl#2","",45,15,15,0,0,"MountCustomize#7","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#6",False,False,False,False,False,0,0,False,False,"TiltParam#32","TiltParam#21","TiltParam#43",False,"TiltParam#42",False
24,"",0,"",0,0,1,0,0,"ModelChara#593","MoveControl#4","",45,15,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#7",False,False,False,False,False,0,0,False,False,"TiltParam#8","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
25,"fat chocobo",0,"fat chocobos",0,0,1,0,0,"ModelChara#643","MoveControl#2","",45,0,15,1,0,"MountCustomize#0","music/ffxiv/BGM_Ride_DEBUChocobo.scd","SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,True,False,0,0,0,0,12,"ui/icon/004000/004013.tex",300,100,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#8","TiltParam#23","TiltParam#37",False,"TiltParam#37",False
26,"cavalry elbst",0,"cavalry elbst",0,0,1,0,0,"ModelChara#689","MoveControl#2","",45,85,85,1,2,"MountCustomize#7","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,False,True,0,0,0,0,13,"ui/icon/004000/004014.tex",3230,100,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#32","TiltParam#21","TiltParam#43",False,"TiltParam#42",False
27,"bomb palanquin",0,"bomb palanquins",0,0,1,0,0,"ModelChara#644","MoveControl#2","",45,15,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_BomKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BomKikyuuBye",20,10,False,True,0,0,0,0,14,"ui/icon/004000/004015.tex",7000,100,True,0,0,70,0,"MountAction#0",True,False,False,False,False,0,0,False,False,"TiltParam#17","TiltParam#19","TiltParam#41",False,"TiltParam#40",False
28,"Aithon",0,"Aithons",0,1,1,0,1,"ModelChara#713","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Ifrit.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,15,"ui/icon/004000/004016.tex",30001,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
29,"Xanthos",0,"Xanthoses",0,0,1,0,1,"ModelChara#714","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Gruda.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,16,"ui/icon/004000/004017.tex",30002,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
30,"Gullfaxi",0,"Gullfaxis",0,0,1,0,1,"ModelChara#715","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Titan.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,17,"ui/icon/004000/004018.tex",30003,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
31,"Enbarr",0,"Enbarrs",0,1,1,0,1,"ModelChara#716","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Leviathan.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,18,"ui/icon/004000/004019.tex",30004,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
32,"warlion",0,"warlions",0,0,1,0,0,"ModelChara#721","MoveControl#2","",45,70,50,1,2,"MountCustomize#8","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_LionWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_LionBye",20,10,False,True,0,0,0,0,19,"ui/icon/004000/004020.tex",3240,150,True,13,4,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#21","TiltParam#43",False,"TiltParam#40",False
33,"warbear",0,"warbears",0,0,1,0,0,"ModelChara#719","MoveControl#2","",45,15,70,1,2,"MountCustomize#9","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_KumaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KumaBye",20,10,False,True,0,0,0,0,20,"ui/icon/004000/004021.tex",3250,65,True,12,3,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#38",False
34,"draught chocobo",0,"draught chocobos",0,0,1,0,0,"ModelChara#1","MoveControl#2","",45,15,15,1,0,"MountCustomize#10","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65563,65563,65563,65563,21,"ui/icon/004000/004022.tex",200,100,True,0,0,55,1,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
35,"direwolf",0,"direwolves",0,0,1,0,0,"ModelChara#675","MoveControl#2","",45,70,70,1,2,"MountCustomize#11","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_WolfWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WolfBye",20,10,False,True,0,0,0,0,22,"ui/icon/004000/004023.tex",3260,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#20","TiltParam#43",False,"TiltParam#42",False
36,"storm warsteed",0,"storm warsteeds",0,0,1,0,0,"ModelChara#811","MoveControl#2","",45,70,70,1,2,"MountCustomize#12","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,65537,65537,65537,0,23,"ui/icon/004000/004024.tex",3010,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#40",False
37,"serpent warsteed",0,"serpent warsteeds",0,0,1,0,0,"ModelChara#811","MoveControl#2","",45,70,70,1,2,"MountCustomize#12","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,131073,131073,131073,0,24,"ui/icon/004000/004025.tex",3011,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#40",False
38,"flame warsteed",0,"flame warsteeds",0,0,1,0,0,"ModelChara#811","MoveControl#2","",45,70,70,1,2,"MountCustomize#12","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,196609,196609,196609,0,25,"ui/icon/004000/004026.tex",3012,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#40",False
39,"",0,"",0,0,1,0,0,"ModelChara#820","MoveControl#2","",45,15,15,0,0,"MountCustomize#7","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,False,True,0,0,0,0,-1,"ui/icon/004000/004014.tex",0,100,False,0,0,100,0,"MountAction#8",False,False,False,False,False,0,0,False,False,"TiltParam#32","TiltParam#21","TiltParam#43",False,"TiltParam#42",False
40,"Markab",0,"Markabs",0,0,1,0,1,"ModelChara#817","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Ramuh.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,26,"ui/icon/004000/004027.tex",30005,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
41,"ceremony chocobo",0,"ceremony chocobos",0,0,1,0,0,"ModelChara#571","MoveControl#2","",45,15,15,1,0,"MountCustomize#13","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,27,"ui/icon/004000/004031.tex",201,100,True,0,0,55,1,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
42,"Sleipnir",0,"Sleipnirs",0,0,1,0,1,"ModelChara#866","MoveControl#5","",45,70,85,1,2,"MountCustomize#14","music/ffxiv/BGM_Ride_Odin.scd","SE_Bt_Etc_SleipnilWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_SleipnilBye",20,10,False,True,0,0,0,0,28,"ui/icon/004000/004028.tex",3013,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#40",False
43,"Boreas",0,"Boreases",0,0,1,0,1,"ModelChara#818","MoveControl#2","",45,70,70,1,2,"MountCustomize#5","music/ffxiv/BGM_Ride_Shiva.scd","SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,29,"ui/icon/004000/004029.tex",30006,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
44,"parade chocobo",0,"parade chocobos",0,0,1,0,0,"ModelChara#965","MoveControl#2","",45,0,15,1,0,"MountCustomize#0","music/ffxiv/BGM_Ride_DEBUChocobo.scd","SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,True,False,0,0,0,0,30,"ui/icon/004000/004030.tex",301,100,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#8","TiltParam#23","TiltParam#37",False,"TiltParam#37",False
45,"black chocobo",0,"black chocobos",0,0,1,0,0,"ModelChara#966","MoveControl#2","",45,15,15,1,0,"MountCustomize#1","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65552,65552,131073,65537,40,"ui/icon/004000/004036.tex",102,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
46,"adamantoise",0,"adamantoises",0,1,1,0,0,"ModelChara#987","MoveControl#2","",45,15,15,1,0,"MountCustomize#15","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_AdamanWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_AdamanBye",5,3,False,True,0,0,0,0,31,"ui/icon/004000/004034.tex",3270,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#0","TiltParam#0","TiltParam#37",False,"TiltParam#37",False
47,"Kirin",0,"Kirins",0,0,1,0,1,"ModelChara#958","MoveControl#2","",45,15,80,1,0,"MountCustomize#5","music/ffxiv/BGM_Ride_Kirin.scd","SE_Bt_Etc_KirinWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KirinBye",20,10,False,True,0,0,0,0,32,"ui/icon/004000/004032.tex",30050,65,True,0,0,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#41",False,"TiltParam#42",False
48,"logistics system",0,"logistics systems",0,0,1,0,0,"ModelChara#1029","MoveControl#2","",45,15,15,1,0,"MountCustomize#16","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_DaragabWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_DaragabBye",0,10,False,True,0,0,0,0,33,"ui/icon/004000/004033.tex",10500,100,True,12,4,100,0,"MountAction#9",True,True,False,False,False,0,0,False,False,"TiltParam#17","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
49,"Fenrir",0,"Fenrirs",0,0,1,0,1,"ModelChara#1026","MoveControl#2","",45,15,70,1,2,"MountCustomize#17","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_FenrirWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_FenrirBye",20,10,False,True,0,0,0,0,34,"ui/icon/004000/004035.tex",3280,65,True,0,6,70,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#21","TiltParam#41",False,"TiltParam#42",False
50,"Midgardsormr",0,"Midgardsormrs",0,0,1,0,1,"ModelChara#926","MoveControl#2","",45,15,50,1,2,"MountCustomize#0","music/ffxiv/BGM_EX1_Ride_FlyingMount.scd","SE_Bt_Etc_DragoneWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_DragoneBye",20,10,False,True,0,0,0,0,35,"ui/icon/004000/004037.tex",35000,40,True,0,0,75,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#23","TiltParam#39",False,"TiltParam#38",False
51,"",0,"",0,0,1,0,0,"ModelChara#311","MoveControl#5","",45,15,15,0,0,"MountCustomize#18","","","","",0,0,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
