key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12,"",1,3,0,1,72,"s1t2/01",200,0,0,"La Noscea","Limsa Lominsa Lower Decks","",-1,0,"s1t2",True,False,False
13,"",3,2,0,1,59,"w1t1/01",200,0,0,"Thanalan","Ul'dah - Steps of Nald","",-1,0,"w1t1",True,False,False
14,"",3,3,1,1,60,"w1t2/01",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Merchant Strip",-1,0,"w1t2",True,False,False
15,"",1,6,0,1,74,"s1f1/00",100,0,0,"La Noscea","Middle La Noscea","",3,254,"s1f1",True,False,False
16,"",1,7,0,1,75,"s1f2/00",100,0,0,"La Noscea","Lower La Noscea","",4,2046,"s1f2",True,False,False
17,"",1,8,0,1,76,"s1f3/01",100,0,0,"La Noscea","Eastern La Noscea","",5,32766,"s1f3",True,False,False
18,"",1,9,0,1,77,"s1f4/00",100,0,0,"La Noscea","Western La Noscea","",3,1048574,"s1f4",False,False,False
19,"",1,10,0,1,78,"s1f5/00",100,0,0,"La Noscea","Upper La Noscea","",6,510,"s1f5",True,False,False
20,"",3,6,0,1,40,"w1f1/00",100,0,0,"Thanalan","Western Thanalan","",7,8190,"w1f1",True,False,False
21,"",3,7,0,1,39,"w1f2/00",100,0,0,"Thanalan","Central Thanalan","",8,16382,"w1f2",True,False,False
22,"",3,8,0,1,41,"w1f3/00",100,0,0,"Thanalan","Eastern Thanalan","",4,262142,"w1f3",False,False,False
23,"",3,9,0,1,42,"w1f4/01",100,0,0,"Thanalan","Southern Thanalan","",5,1048574,"w1f4",False,False,False
24,"",3,10,0,1,43,"w1f5/00",100,0,0,"Thanalan","Northern Thanalan","",9,510,"w1f5",True,False,False
25,"",5,2,0,1,108,"l1f1/01",100,0,0,"Mor Dhona","Mor Dhona","",6,131070,"l1f1",False,False,False
26,"",0,0,0,1,68,"s1ti/00",800,0,0,"La Noscea","Mizzenmast Inn","",-1,0,"s1ti",True,False,False
27,"",0,0,0,1,70,"w1ti/00",800,0,0,"Thanalan","The Hourglass","",-1,0,"w1ti",True,False,False
28,"",0,0,0,1,69,"f1ti/00",800,0,0,"The Black Shroud","The Roost","",-1,0,"f1ti",True,False,False
29,"",0,0,0,1,0,"default/00",200,0,0,"","","",-1,0,"",True,False,False
30,"",1,11,0,1,79,"s1f6/00",100,0,0,"La Noscea","Outer La Noscea","",10,510,"s1f6",True,False,False
31,"",1,12,0,1,80,"s1d1/00",200,0,0,"La Noscea","Sastasha","",11,4094,"s1d1_re",True,False,False
32,"",1,14,0,1,82,"s1d3/00",200,0,0,"La Noscea","The Wanderer's Palace","",12,1022,"s1d3",True,False,False
33,"",0,0,0,1,0,"s1fa/00",400,0,0,"La Noscea","The Navel","",-1,0,"s1fa_re",True,False,False
34,"",3,11,1,1,44,"w1d1/01",200,0,0,"Thanalan","Copperbell Mines","Ground Level",13,6,"w1d1_re",True,False,False
35,"",0,0,0,1,0,"w1fa/00",400,0,0,"Thanalan","Bowl of Embers","",-1,0,"w1fa_re",True,False,False
36,"",0,0,0,1,0,"f1fa/00",400,0,0,"The Black Shroud","Thornmarch","",-1,0,"f1fa",True,False,False
37,"",4,7,0,1,103,"r1d1/00",200,0,0,"Coerthas","Stone Vigil","",14,1022,"r1d1_re",True,False,False
38,"",4,9,0,1,106,"r1r2/00",200,0,0,"Coerthas","Aurum Vale","",15,2046,"r1r2",True,False,False
39,"",0,0,1,1,0,"r1fa/01",400,0,0,"Coerthas","The Howling Eye","",-1,0,"r1fa_re",True,False,False
40,"",3,11,2,1,45,"w1d1/02",200,0,0,"Thanalan","Copperbell Mines","First Drop",13,16632,"w1d1_re",True,False,False
41,"",3,11,3,1,46,"w1d1/03",200,0,0,"Thanalan","Copperbell Mines","B2",13,16128,"w1d1_re",True,False,False
42,"",3,13,1,1,48,"w1d3/01",200,0,0,"Thanalan","The Sunken Temple of Qarn","Sanctum Entrance",7,2,"w1d3",False,False,False
43,"",3,13,2,1,49,"w1d3/02",200,0,0,"Thanalan","The Sunken Temple of Qarn","Inner Sanctum",7,131068,"w1d3",False,False,False
44,"",3,13,3,1,50,"w1d3/03",200,0,0,"Thanalan","The Sunken Temple of Qarn","Lower Sanctum",7,917504,"w1d3",False,False,False
45,"",1,13,0,1,81,"s1d2/00",200,0,0,"La Noscea","Brayflox's Longstop","",16,65534,"s1d2_re",True,False,False
46,"",3,12,0,1,47,"w1d2/00",200,0,0,"Thanalan","Halatali","",17,1022,"w1d2",True,False,False
47,"",0,0,0,1,516,"w1d4/00",200,0,0,"Thanalan","Castrum Meridianum","",18,65534,"w1d4_re",True,False,False
48,"",2,11,2,1,12,"f1d2/01",200,0,0,"The Black Shroud","Haukke Manor","Ground Floor",8,510,"f1d2_re",False,False,False
49,"",2,12,1,1,14,"f1d3/01",200,0,0,"The Black Shroud","Amdapor Keep","Ground Floor",19,14,"f1d3",True,False,False
50,"",4,8,1,1,104,"r1r1/01",200,0,0,"Coerthas","Dzemael Darkhold","Outer Hold",25,62,"r1r1",True,False,False
51,"",1,5,0,1,83,"s1p1/00",400,-77,0,"La Noscea","Wolves' Den Pier","",-1,0,"s1p1",True,False,False
52,"",3,14,1,1,63,"w1r1/01",200,0,0,"Thanalan","Cutter's Cry","The Dry Sands",20,158,"w1r1",True,False,False
53,"",4,5,0,1,102,"r1f1/00",100,0,0,"Coerthas","Coerthas Central Highlands","",9,8388606,"r1f1",False,False,False
54,"",2,11,1,1,11,"f1d2/02",200,0,0,"The Black Shroud","Haukke Manor","Second Floor",8,1966080,"f1d2_re",False,False,False
55,"",2,11,3,1,13,"f1d2/03",200,0,0,"The Black Shroud","Haukke Manor","Cellarage",8,130560,"f1d2_re",False,False,False
56,"",0,0,1,1,517,"w1d5/01",200,0,0,"Thanalan","The Praetorium","Sky Level",26,2,"w1d5_re",True,False,False
57,"",0,0,0,1,87,"s1b1/00",200,0,0,"La Noscea","Upper Aetheroacoustic Exploratory Site","",21,254,"s1b1",True,False,False
58,"",0,0,0,1,88,"s1b2/00",200,0,0,"La Noscea","Lower Aetheroacoustic Exploratory Site","",22,6,"s1b2",True,False,False
59,"",0,0,0,1,92,"s1b4/00",200,0,0,"La Noscea","Ragnarok Drive Cylinder","",-1,0,"s1b4",True,False,False
60,"",0,0,0,1,93,"s1b5/00",200,0,0,"La Noscea","Ragnarok Central Core","",23,14,"s1b5",True,False,False
61,"",0,0,0,1,94,"default/00",100,0,0,"La Noscea","Ragnarok Main Bridge","",-1,0,"s1b7",True,False,False
62,"",0,0,1,1,89,"s1b3/01",200,0,0,"La Noscea","The Ragnarok","Engine Room",24,2,"s1b3",True,False,False
63,"",0,0,2,1,90,"s1b3/02",200,0,0,"La Noscea","The Ragnarok","Compression Chamber",24,4,"s1b3",True,False,False
64,"",0,0,3,1,91,"s1b3/03",200,0,0,"La Noscea","The Ragnarok","Propellant Chamber",24,8,"s1b3",True,False,False
65,"",0,0,3,1,25,"f1b3/01",200,0,0,"The Black Shroud","Central Decks","Lower Decks",36,2,"f1b3",True,False,False
66,"",0,0,2,1,26,"f1b3/02",200,0,0,"The Black Shroud","Central Decks","Main Decks",36,52,"f1b3",True,False,False
67,"",0,0,1,1,27,"f1b3/03",200,0,0,"The Black Shroud","Central Decks","Upper Decks",36,8,"f1b3",True,False,False
68,"",0,0,0,1,29,"f1e4/00",800,0,0,"The Black Shroud","Seat of the First Bow","",-1,0,"f1e4",True,True,False
69,"",0,0,0,1,30,"f1e5/00",400,0,0,"The Black Shroud","Lotus Stand","",-1,0,"f1e5",True,True,False
70,"",3,2,0,1,61,"w1t1/02",200,0,0,"Thanalan","Ul'dah - Steps of Nald","Airship Landing",-1,0,"w1t1",True,False,False
71,"",5,4,1,1,110,"l1r1/01",200,0,0,"Mor Dhona","Labyrinth of the Ancients","Lower Labyrinth",30,16382,"l1r1",True,False,False
72,"",1,4,1,1,86,"s1h1/01",200,0,0,"La Noscea","Mist","Mist",-1,0,"s1h1",True,False,False
73,"",3,3,2,1,62,"w1t2/02",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Hustings Strip",-1,0,"w1t2",True,False,False
74,"",1,2,0,1,73,"s1t1/02",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","Airship Landing",-1,0,"s1t1",True,False,False
75,"",0,0,0,1,31,"s1e4/00",800,0,0,"La Noscea","Command Room","",-1,0,"s1e4",True,True,False
76,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False
77,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False
78,"",0,0,0,1,34,"w1e4/00",400,0,0,"Thanalan","Heart of the Sworn","",-1,0,"w1e4",True,True,False
79,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False
80,"",0,0,0,1,36,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False
81,"",0,0,0,1,84,"s1p2/00",400,0,0,"La Noscea","The Fold","",-1,0,"",True,False,False
82,"",2,4,1,1,66,"f1h1/01",200,0,0,"The Black Shroud","The Lavender Beds","The Lavender Beds",-1,0,"f1h1",True,False,False
83,"",3,4,1,1,67,"w1h1/01",200,0,0,"Thanalan","The Goblet","The Goblet",-1,0,"w1h1",True,False,False
84,"",2,12,2,1,15,"f1d3/02",200,0,0,"The Black Shroud","Amdapor Keep","Second Floor",19,240,"f1d3",True,False,False
85,"",2,12,3,1,16,"f1d3/03",200,0,0,"The Black Shroud","Amdapor Keep","Third Floor",19,3840,"f1d3",True,False,False
86,"",4,8,2,1,105,"r1r1/02",200,0,0,"Coerthas","Dzemael Darkhold","Inner Hold",25,8128,"r1r1",True,False,False
87,"",1,1,0,3,131,"region/00",100,0,0,"La Noscea","La Noscea","",-1,0,,True,False,False
88,"",3,1,0,3,132,"region/02",100,0,0,"Thanalan","Thanalan","",-1,0,,True,False,False
89,"",2,1,0,3,133,"region/01",100,0,0,"The Black Shroud","The Black Shroud","",-1,0,,True,False,False
90,"",4,1,0,3,134,"region/03",100,0,0,"Coerthas","Coerthas","",-1,0,,True,False,False
91,"",5,1,0,3,135,"region/04",100,0,0,"Mor Dhona","Mor Dhona","",-1,0,,True,False,False
92,"",10,1,0,2,136,"world/00",100,0,0,"Eorzea","Eorzea","",-1,0,,True,False,True
93,"",0,0,0,1,291,"w1f4/02",100,0,0,"Thanalan","Southern Thanalan","Zanr'ak",-1,0,"w1f4",True,True,False
94,"",0,0,0,1,37,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False
95,"",0,0,0,1,85,"o1e2/00",400,0,0,"La Noscea","Rhotano Sea","",-1,0,,True,False,False
96,"",3,14,2,1,64,"w1r1/02",200,0,0,"Thanalan","Cutter's Cry","The Wet Sands",20,96,"w1r1",True,False,False
97,"",3,14,3,1,65,"w1r1/03",200,0,0,"Thanalan","Cutter's Cry","The Blue Sands",20,1792,"w1r1",True,False,False
98,"",0,0,2,1,293,"r1fa/02",400,0,0,"Coerthas","The Howling Eye","",-1,0,"r1fa_event",True,True,False
99,"",0,0,2,1,518,"w1d5/02",200,0,0,"Thanalan","The Praetorium","Castrum Control",26,28,"w1d5_re",True,False,False
100,"",0,0,3,1,519,"w1d5/03",200,0,0,"Thanalan","The Praetorium","Castrum Defense",26,96,"w1d5_re",True,False,False
101,"",0,0,4,1,520,"w1d5/04",200,0,0,"Thanalan","The Praetorium","Main Level",26,896,"w1d5_re",True,False,False
102,"",0,0,0,1,57,"w1d5/05",200,0,0,"Thanalan","The Praetorium","Ground Level",-1,0,"w1d5_re",True,False,False
103,"",0,0,5,1,521,"w1d5/06",100,0,0,"Thanalan","The Praetorium","Research Level",26,63488,"w1d5_re",True,True,False
104,"",0,0,6,1,0,"w1d5/07",100,0,0,"Thanalan","The Praetorium","The Echelon",26,1024,"w1d5_re",True,False,False
105,"",0,0,0,1,0,"l1f1/02",400,0,0,"Mor Dhona","Mor Dhona","",-1,0,"l1f1",True,True,False
106,"",0,0,0,1,0,"default/00",100,0,0,"???","Eorzean Subterrane","",-1,0,"s1b7_2",True,False,False
107,"",0,0,0,1,38,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"w1e6",True,True,False
108,"",1,15,1,1,95,"s1d4/01",200,0,0,"La Noscea","Pharos Sirius","Flood Cellar",27,6,"s1d4",True,False,False
109,"",0,0,1,1,0,"s1i1/01",400,0,0,"La Noscea","Private Cottage - Mist","Ground Floor",-1,0,"s1i1",True,False,False
110,"",0,0,2,1,0,"s1i2/01",400,0,0,"La Noscea","Private House - Mist","Ground Floor",-1,0,"s1i2",True,False,False
111,"",0,0,1,1,0,"s1i2/02",400,0,0,"La Noscea","Private House - Mist","Second Floor",-1,0,"s1i2",True,False,False
112,"",0,0,3,1,0,"s1i2/03",400,0,0,"La Noscea","Private House - Mist","Cellarage",-1,0,"s1i2",True,False,False
113,"",0,0,2,1,0,"s1i3/01",400,0,0,"La Noscea","Private Mansion - Mist","Ground Floor",-1,0,"s1i3",True,False,False
114,"",0,0,1,1,0,"s1i3/02",400,0,0,"La Noscea","Private Mansion - Mist","Second Floor",-1,0,"s1i3",True,False,False
115,"",0,0,3,1,0,"s1i3/03",400,0,0,"La Noscea","Private Mansion - Mist","Cellarage",-1,0,"s1i3",True,False,False
116,"",0,0,1,1,0,"f1i1/01",400,0,0,"The Black Shroud","Private Cottage - The Lavender Beds","Ground Floor",-1,0,"f1i1",True,False,False
117,"",0,0,2,1,0,"f1i2/01",400,0,0,"The Black Shroud","Private House - The Lavender Beds","Ground Floor",-1,0,"f1i2",True,False,False
118,"",0,0,1,1,0,"f1i2/02",400,0,0,"The Black Shroud","Private House - The Lavender Beds","Second Floor",-1,0,"f1i2",True,False,False
119,"",0,0,3,1,0,"f1i2/03",400,0,0,"The Black Shroud","Private House - The Lavender Beds","Cellarage",-1,0,"f1i2",True,False,False
120,"",0,0,2,1,0,"f1i3/01",400,0,0,"The Black Shroud","Private Mansion - The Lavender Beds","Ground Floor",-1,0,"f1i3",True,False,False
121,"",0,0,1,1,0,"f1i3/02",400,0,0,"The Black Shroud","Private Mansion - The Lavender Beds","Second Floor",-1,0,"f1i3",True,False,False
122,"",0,0,3,1,0,"f1i3/03",400,0,0,"The Black Shroud","Private Mansion - The Lavender Beds","Cellarage",-1,0,"f1i3",True,False,False
123,"",0,0,1,1,0,"w1i1/01",400,0,0,"Thanalan","Private Cottage - The Goblet","Ground Floor",-1,0,"w1i1",True,False,False
124,"",0,0,2,1,0,"w1i2/01",400,0,0,"Thanalan","Private House - The Goblet","Ground Floor",-1,0,"w1i2",True,False,False
125,"",0,0,1,1,0,"w1i2/02",400,0,0,"Thanalan","Private House - The Goblet","Second Floor",-1,0,"w1i2",True,False,False
126,"",0,0,3,1,0,"w1i2/03",400,0,0,"Thanalan","Private House - The Goblet","Cellarage",-1,0,"w1i2",True,False,False
127,"",0,0,2,1,0,"w1i3/01",400,0,0,"Thanalan","Private Mansion - The Goblet","Ground Floor",-1,0,"w1i3",True,False,False
128,"",0,0,1,1,0,"w1i3/02",400,0,0,"Thanalan","Private Mansion - The Goblet","Second Floor",-1,0,"w1i3",True,False,False
129,"",0,0,3,1,0,"w1i3/03",400,0,0,"Thanalan","Private Mansion - The Goblet","Cellarage",-1,0,"w1i3",True,False,False
130,"",1,15,2,1,96,"s1d4/02",200,0,0,"La Noscea","Pharos Sirius","Ground Floor",27,248,"s1d4",True,False,False
131,"",1,15,3,1,97,"s1d4/03",200,0,0,"La Noscea","Pharos Sirius","Second Floor",27,768,"s1d4",True,False,False
132,"",1,15,4,1,98,"s1d4/04",200,0,0,"La Noscea","Pharos Sirius","Third Floor",27,1024,"s1d4",True,False,False
133,"",1,15,5,1,99,"s1d4/05",200,0,0,"La Noscea","Pharos Sirius","Fourth Floor",27,2048,"s1d4",True,False,False
134,"",1,15,6,1,100,"s1d4/06",200,0,0,"La Noscea","Pharos Sirius","Fifth Floor",27,4096,"s1d4",True,False,False
135,"",5,4,2,1,111,"l1r1/02",200,0,0,"Mor Dhona","Labyrinth of the Ancients","Upper Labyrinth",30,49152,"l1r1",True,False,False
136,"",0,0,0,1,109,"l1e1/01",400,0,0,"Mor Dhona","The Rising Stones","",-1,0,"l1e1",True,True,False
137,"",2,13,2,1,18,"f1d4/01",200,0,0,"The Black Shroud","Haukke Manor (Hard)","Ground Floor",28,1922,"f1d4",True,False,False
138,"",2,13,1,1,17,"f1d4/02",200,0,0,"The Black Shroud","Haukke Manor (Hard)","Second Floor",28,124,"f1d4",True,False,False
139,"",2,13,3,1,19,"f1d4/03",200,0,0,"The Black Shroud","Haukke Manor (Hard)","Cellarage",28,63488,"f1d4",True,False,False
140,"",3,15,1,1,119,"w1d6/01",200,0,0,"Thanalan","Copperbell Mines (Hard)","Ground Level",29,6,"w1d6",True,False,False
141,"",3,15,2,1,120,"w1d6/02",200,0,0,"Thanalan","Copperbell Mines (Hard)","First Drop",29,1016,"w1d6",True,False,False
142,"",3,15,3,1,121,"w1d6/03",200,0,0,"Thanalan","Copperbell Mines (Hard)","B2",29,64512,"w1d6",True,False,False
143,"",0,0,0,1,0,"w1fb/00",400,0,0,"Thanalan","Porta Decumana","",-1,0,"w1fb",True,False,False
144,"",0,0,0,1,127,"r1fb/00",200,0,0,"Coerthas","Griffin Crossing","",-1,0,"r1fb",True,False,False
145,"",3,16,0,1,58,"w1d7/00",200,0,0,"Thanalan","Halatali (Hard)","",31,4094,"w1d7",True,False,False
146,"",1,16,0,1,101,"s1d6/00",200,0,0,"La Noscea","Brayflox's Longstop (Hard)","",32,2046,"s1d6",True,False,False
147,"",0,0,0,1,0,"o1fa/00",400,0,0,"La Noscea","The Whorleater","",-1,0,"o1fa",True,False,False
148,"",0,0,0,1,22,"f1b1/00",200,0,0,"The Black Shroud","Dalamud's Shadow","",34,126,"f1b1",True,False,False
149,"",0,0,1,1,23,"f1b2/01",200,0,0,"The Black Shroud","The Outer Coil","Incubation Bay",35,6,"f1b2",True,False,False
150,"",0,0,0,1,28,"f1b4/00",200,0,0,"The Black Shroud","The Holocharts","",-1,0,"f1b4",True,False,False
151,"",2,15,1,1,122,"f1d5/01",200,0,0,"The Black Shroud","The Lost City of Amdapor","Central Amdapor",33,510,"f1d5",True,False,False
152,"",2,15,2,1,123,"f1d5/02",200,0,0,"The Black Shroud","The Lost City of Amdapor","Sanctum of Dreams",33,7680,"f1d5",True,False,False
153,"",0,0,2,1,0,"s1i1/02",400,0,0,"La Noscea","Private Cottage - Mist","Cellarage",-1,0,"s1i1",True,False,False
154,"",0,0,2,1,0,"f1i1/02",400,0,0,"The Black Shroud","Private Cottage - The Lavender Beds","Cellarage",-1,0,"f1i1",True,False,False
155,"",0,0,2,1,0,"w1i1/02",400,0,0,"Thanalan","Private Cottage - The Goblet","Cellarage",-1,0,"w1i1",True,False,False
156,"",0,0,2,1,24,"f1b2/02",200,0,0,"The Black Shroud","The Outer Coil","Monitoring Station ",35,24,"f1b2",True,False,False
157,"",4,10,0,1,107,"r1d2/00",200,0,0,"Coerthas","The Stone Vigil (Hard)","",37,16382,"r1d2",True,False,False
158,"",5,5,1,1,112,"l1r2/01",200,0,0,"Mor Dhona","Syrcus Tower","First Lower Ring",38,2,"l1r2",True,False,False
159,"",5,5,2,1,113,"l1r2/02",200,0,0,"Mor Dhona","Syrcus Tower","Second Lower Ring",38,12,"l1r2",True,False,False
160,"",5,5,3,1,114,"l1r2/03",200,0,0,"Mor Dhona","Syrcus Tower","Third Lower Ring",38,48,"l1r2",True,False,False
161,"",5,5,4,1,115,"l1r2/04",200,0,0,"Mor Dhona","Syrcus Tower","First Central Ring",38,192,"l1r2",True,False,False
162,"",5,5,5,1,116,"l1r2/05",200,0,0,"Mor Dhona","Syrcus Tower","Second Central Ring",38,768,"l1r2",True,False,False
163,"",5,5,6,1,117,"l1r2/06",200,0,0,"Mor Dhona","Syrcus Tower","Third Central Ring",38,3072,"l1r2",True,False,False
164,"",5,5,7,1,118,"l1r2/07",200,0,0,"Mor Dhona","Syrcus Tower","Upper Ring",38,28672,"l1r2",True,False,False
165,"",2,16,0,1,9,"f1d6/00",300,0,0,"The Black Shroud","The Tam-Tara Deepcroft (Hard)","",39,16382,"f1d6",True,False,False
166,"",0,0,0,1,0,"f1fb/00",400,0,0,"The Black Shroud","The Striking Tree","",-1,0,"f1fb",True,False,False
167,"",0,0,0,1,124,"l1p1/00",100,0,0,"Mor Dhona","Carteneau Flats: Borderland Ruins","",-1,0,"l1p1",True,False,False
168,"",1,17,0,1,125,"s1d5/00",200,0,0,"La Noscea","Hullbreaker Isle","",40,8190,"s1d5",True,False,False
169,"",1,18,0,1,126,"s1d7/00",200,0,0,"La Noscea","Sastasha (Hard)","",42,1022,"s1d7",True,False,False
170,"",0,0,0,1,0,"s1i4/00",400,0,0,"La Noscea","Private Chambers - Mist","",-1,0,"s1i4",True,False,False
171,"",0,0,0,1,0,"f1i4/00",400,0,0,"The Black Shroud","Private Chambers - The Lavender Beds","",-1,0,"f1i4",True,False,False
172,"",0,0,0,1,0,"w1i4/00",400,0,0,"Thanalan","Private Chambers - The Goblet","",-1,0,"w1i4",True,False,False
173,"",0,0,0,1,0,"r1fc/00",400,0,0,"Coerthas","Akh Afah Amphitheatre","",-1,0,"r1fc",True,False,False
174,"",4,11,0,1,128,"r1d3/00",200,0,0,"Coerthas","Snowcloak","",41,2046,"r1d3",True,False,False
175,"",0,0,0,1,140,"w1b1/00",200,0,0,"Thanalan","IC-06 Central Decks","",45,126,"w1b1",True,False,False
176,"",0,0,0,1,141,"w1b2/00",200,0,0,"Thanalan","IC-06 Regeneration Grid","",46,126,"w1b2",True,False,False
177,"",0,0,0,1,142,"w1b3/00",200,0,0,"Thanalan","IC-06 Main Bridge","",-1,0,"w1b3",True,False,False
178,"",0,0,0,1,143,"w1b4/00",200,-448,0,"Thanalan","The Burning Heart","",-1,0,"w1b4",True,False,False
179,"",0,0,0,1,0,"r1e2/00",400,0,0,"Coerthas","Intercessory","",-1,0,"r1e2",True,True,False
180,"",0,0,0,1,0,"f1e6/00",200,0,0,"The Black Shroud","East Shroud","Sanctum of the Twelve",-1,0,"f1f2",True,True,False
181,"",0,0,0,1,0,"",100,0,0,"The Black Shroud","South Shroud","Dock Storehouse",-1,0,"s1f3",True,True,False
182,"",3,17,1,1,138,"w1d8/01",200,0,0,"Thanalan","The Sunken Temple of Qarn (Hard)","Inner Sanctum",43,65038,"w1d8",True,False,False
183,"",3,17,2,1,139,"w1d8/02",200,0,0,"Thanalan","The Sunken Temple of Qarn (Hard)","Lower Sanctum",43,496,"w1d8",True,False,False
184,"",5,6,1,1,130,"l1r3/00",200,0,0,"Mor Dhona","The World of Darkness","",47,2046,"l1r3",True,False,False
185,"",0,0,0,1,0,"default/00",100,0,0,"Mor Dhona","The Belly of the Beast","",-1,0,"l1r3",True,False,False
186,"",0,0,0,1,152,"r1fd/00",200,0,0,"Coerthas","Steps of Faith","",-1,0,"r1fd",True,False,False
187,"",0,0,0,1,0,"default/00",100,0,0,"The Black Shroud","South Shroud","Urth's Fount",-1,0,"f1f3_battle",True,False,False
188,"",1,19,0,1,129,"s1d8/00",200,0,0,"La Noscea","The Wanderer's Palace (Hard)","",44,4094,"s1d8",True,False,False
189,"",2,17,1,1,149,"f1d7/01",200,0,0,"The Black Shroud","Amdapor Keep (Hard)","Ground Floor",48,62,"f1d7",True,False,False
190,"",2,17,2,1,150,"f1d7/02",200,0,0,"The Black Shroud","Amdapor Keep (Hard)","Third Floor",48,8128,"f1d7",True,False,False
191,"",2,17,3,1,151,"f1d7/03",200,0,0,"The Black Shroud","Amdapor Keep (Hard)","Cellar",48,57344,"f1d7",True,False,False
192,"",1,4,2,1,144,"s1h1/02",200,704,704,"La Noscea","Mist","Mist Subdivision",-1,0,"s1h1",True,False,False
193,"",2,4,2,1,145,"f1h1/02",200,704,704,"The Black Shroud","The Lavender Beds","The Lavender Beds Subdivision",-1,0,"f1h1",True,False,False
194,"",3,4,2,1,146,"w1h1/02",200,704,704,"Thanalan","The Goblet","The Goblet Subdivision",-1,0,"w1h1",True,False,False
195,"",0,0,0,1,0,"default/00",100,0,0,"Thanalan","Halatali","",-1,0,"w1d7_battle",True,False,False
196,"",3,5,1,1,147,"w1eb/00",400,0,0,"Thanalan","The Gold Saucer","The Gold Saucer",-1,0,"w1eb",True,False,False
197,"",3,5,2,1,148,"w1ed/00",400,0,0,"Thanalan","The Gold Saucer","Chocobo Square",-1,0,"w1ed",True,False,False
198,"",0,0,0,1,156,"s1fb/00",100,-472,-424,"???","Chocobo Square","",-1,0,"s1fb",True,False,False
199,"",0,0,0,1,157,"w1fc/01",100,0,0,"???","Chocobo Square","",-1,0,"w1fc",True,False,False
200,"",0,0,0,1,158,"f1fc/00",100,0,0,"???","Chocobo Square","",-1,0,"f1fc",True,False,False
201,"",5,3,1,1,153,"l1d1/01",200,0,0,"Mor Dhona","The Keeper of the Lake","Forecastle",49,30,"l1d1",True,False,False
202,"",5,3,2,1,154,"l1d1/02",200,0,0,"Mor Dhona","The Keeper of the Lake","Quarterdeck",49,480,"l1d1",True,False,False
203,"",5,3,3,1,155,"l1d1/03",200,0,0,"Mor Dhona","The Keeper of the Lake","Stern",49,3584,"l1d1",True,False,False
204,"",0,0,0,1,0,"s1i5/00",400,0,0,"La Noscea","Company Workshop - Mist","",-1,0,"s1i5",True,False,False
205,"",0,0,0,1,0,"w1i5/00",400,0,0,"Thanalan","Company Workshop - The Goblet","",-1,0,"w1i5",True,False,False
206,"",0,0,0,1,0,"f1i5/00",400,0,0,"The Black Shroud","Company Workshop - The Lavender Beds","",-1,0,"f1i5",True,False,False
207,"",0,0,0,1,0,"z1e9/00",400,0,0,"Mor Dhona","The Chrysalis","",-1,0,"z1e9",True,False,False
