key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
8,"Shot",False,"ui/icon/000000/000405.tex","Auto-attack",0,"","",,"normal_hit/fast_attack_hit",0,"",0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,0,0,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,0,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
9,"Fast Blade",False,"ui/icon/000000/000158.tex","Weaponskill",0,"","","ws/bt_swd_sld/wsh001","normal_hit/normal_hit",0,"gladiator",0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",38,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
10,"Rampart",False,"ui/icon/000000/000152.tex","Ability",0,"","","ability/swd_knight/abl001","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,900,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
11,"Savage Blade",False,"ui/icon/000000/000157.tex","Weaponskill",0,"","","ws/bt_swd_sld/wsh002","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",9,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
12,"Convalescence",False,"ui/icon/000000/000162.tex","Ability",0,"","","ability/swd_knight/abl002","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,1200,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13,"Awareness",False,"ui/icon/000000/000163.tex","Ability",0,"","","ability/swd_knight/abl003","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,1200,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
14,"Flash",False,"ui/icon/000000/000159.tex","Spell",0,"battle/magic_pld_start","cmat_ligct0c","magic/swd_knight/flash","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,3,8,,"",0,True,0,0,25,58,0,"",5,"Fang and Claw Bared",0,"",,"",0,1,True,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
15,"Riot Blade",False,"ui/icon/000000/000156.tex","Weaponskill",0,"","","ws/bt_swd_sld/ws_s07","normal_hit/normal_hit",0,"gladiator",0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",9,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",38,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
16,"Shield Bash",False,"ui/icon/000000/000154.tex","Weaponskill",0,"","","ws/bt_swd_sld/ws_s05","normal_hit/normal_hit",0,"gladiator",0,10,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",38,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
17,"Sentinel",False,"ui/icon/000000/000151.tex","Ability",0,"","","ability/swd_knight/abl004","normal_hit/normal_hit",0,"gladiator",0,38,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"Touchdown",0,True,0,0,1200,20,0,"",0,"",0,"Stun",,"",38,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
18,"Provoke",False,"ui/icon/000000/000165.tex","Ability",0,"","","ability/swd_knight/abl005","normal_hit/normal_hit",0,,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,150,0,0,"",0,"",0,"",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
19,"Tempered Will",False,"ui/icon/000000/000153.tex","Ability",0,"","","ability/swd_knight/abl006","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,1800,11,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
20,"Fight or Flight",False,"ui/icon/000000/000166.tex","Ability",0,"","","ability/swd_knight/abl008","normal_hit/normal_hit",0,"gladiator",0,2,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,600,11,0,"",0,"",0,"Stun",,"",38,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
21,"Rage of Halone",False,"ui/icon/000000/000155.tex","Weaponskill",0,"","","ws/bt_swd_sld/ws_s02","normal_hit/normal_hit",0,"gladiator",0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"Great Strides",15,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",38,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
22,"Bulwark",False,"ui/icon/000000/000167.tex","Ability",0,"","","ability/swd_knight/abl009","normal_hit/normal_hit",0,"paladin",0,52,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,900,16,0,"",0,"",0,"Stun",,"",20,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
23,"Circle of Scorn",False,"ui/icon/000000/000161.tex","Ability",0,"","","ws/bt_swd_sld/ws_s03","ws/bt_swd_sld/ws_s03_hit",0,"gladiator",0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,,"",0,True,0,0,300,7,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",38,4,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
24,"Shield Lob",False,"ui/icon/000000/000164.tex","Weaponskill",0,"","","ws/bt_swd_sld/ws_s06","normal_hit/normal_hit",0,"gladiator",0,15,False,False,20,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,,38,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
25,"Shield Swipe",False,"ui/icon/000000/000160.tex","Ability",0,"","","ws/bt_swd_sld/ws_s08","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,150,15,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
26,"Sword Oath",False,"ui/icon/002000/002504.tex","Spell",0,"battle/magic_pld_start","cmst_ethct0c","magic/swd_knight/battlezeal","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,3,10,,"",0,True,0,0,25,58,0,"",0,"",0,"Stun",,"",0,1,True,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
27,"Cover",False,"ui/icon/002000/002501.tex","Ability",0,"","","ability/swd_knight/abl007","ability/swd_knight/abl007_hit",0,"paladin",0,45,False,False,20,False,True,False,False,False,False,False,False,False,0,True,False,1,0,0,False,41,50,,"",0,True,0,0,1200,21,0,"",0,"",0,"Stun",,,20,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
28,"Iron Will",False,"ui/icon/002000/002505.tex","Ability",0,"battle/magic_pld_start","cmst_ethct0c","magic/swd_knight/auraofcourage","normal_hit/normal_hit",0,"gladiator",0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,20,1,0,"",0,"",0,"Stun",,"",38,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
29,"Spirits Within",False,"ui/icon/002000/002503.tex","Ability",0,"","","ws/bt_swd_sld/ws_s04","normal_hit/normal_hit",0,"paladin",0,30,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"Whipcrack",0,True,0,0,300,8,0,"",-1,"Fang and Claw Bared",0,"Petrification",,,20,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
30,"Hallowed Ground",False,"ui/icon/002000/002502.tex","Ability",0,"","","ability/swd_knight/abl010","normal_hit/normal_hit",0,"paladin",0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,4200,25,0,"",0,"",0,"Stun",,,20,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
31,"Heavy Swing",False,"ui/icon/000000/000260.tex","Weaponskill",0,"","","ws/bt_2ax_emp/wsh001","normal_hit/normal_hit",0,"marauder",0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
32,"Foresight",False,"ui/icon/000000/000252.tex","Ability",0,"","","ability/2ax_warrior/abl001","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,1200,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
33,"Fracture",False,"ui/icon/000000/000256.tex","Weaponskill",0,"","","ws/bt_2ax_emp/wsh003","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
34,"Bloodbath",False,"ui/icon/000000/000251.tex","Ability",0,"","","ability/2ax_warrior/abl002","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,900,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
35,"Skull Sunder",False,"ui/icon/000000/000257.tex","Weaponskill",0,"","","ws/bt_2ax_emp/wsh002","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",31,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
36,"Mercy Stroke",False,"ui/icon/000000/000265.tex","Ability",0,"","","ability/2ax_warrior/abl003","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,900,0,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
37,"Maim",False,"ui/icon/000000/000255.tex","Weaponskill",0,"","","ws/bt_2ax_emp/wsh004","normal_hit/normal_hit",0,"marauder",0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",31,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
38,"Berserk",False,"ui/icon/000000/000259.tex","Ability",0,"","","ability/2ax_warrior/abl004","normal_hit/normal_hit",0,"marauder",0,6,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"Field Mastery",0,True,0,0,600,11,0,"",0,"",0,"Stun",,"",44,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
39,"Brutal Swing",False,"ui/icon/000000/000253.tex","Ability",0,"","","ws/bt_2ax_emp/ws_s01","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,200,0,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
40,"Thrill of Battle",False,"ui/icon/000000/000263.tex","Ability",0,"","","ability/2ax_warrior/abl005","normal_hit/normal_hit",0,"marauder",0,30,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,900,16,0,"",0,"",0,"Stun",,,44,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
41,"Overpower",False,"ui/icon/000000/000254.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s14","ws/bt_2ax_emp/ws_s08_hit",0,"marauder",0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",44,4,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
42,"Storm's Path",False,"ui/icon/000000/000258.tex","Weaponskill",0,"","","ws/bt_2ax_emp/wsh005","normal_hit/normal_hit",0,"marauder",0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",37,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
43,"Holmgang",False,"ui/icon/000000/000266.tex","Ability",0,"","","ability/2ax_warrior/abl007","normal_hit/normal_hit",0,"marauder",0,42,False,False,6,True,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,2400,25,0,"",0,"",0,"Petrification",,"",44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
44,"Vengeance",False,"ui/icon/000000/000267.tex","Ability",0,"","","ability/2ax_warrior/abl010","normal_hit/normal_hit",0,"marauder",0,38,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"Big Scissors",0,True,0,0,1200,22,0,"",0,"",0,"Stun",,"",44,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
45,"Storm's Eye",False,"ui/icon/000000/000264.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s06","normal_hit/normal_hit",0,"marauder",0,50,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",37,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
46,"Tomahawk",False,"ui/icon/000000/000261.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s05","normal_hit/normal_hit",0,"marauder",0,15,False,False,20,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,,44,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
47,"Butcher's Block",False,"ui/icon/000000/000262.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s02","normal_hit/normal_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",35,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
48,"Defiance",False,"ui/icon/002000/002551.tex","Ability",0,"","","ability/2ax_warrior/abl006","normal_hit/normal_hit",0,"marauder",0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,20,2,0,"",0,"",0,"Stun",,"",44,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
49,"Inner Beast",False,"ui/icon/002000/002553.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s07","normal_hit/normal_hit",0,"warrior",0,35,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,22,50,,"Great Strides",0,True,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,,22,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
50,"Unchained",False,"ui/icon/002000/002554.tex","Ability",0,"","","ability/2ax_warrior/abl008","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"Phlebotomize",0,True,0,0,900,8,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
51,"Steel Cyclone",False,"ui/icon/002000/002552.tex","Weaponskill",0,"","","ws/bt_2ax_emp/ws_s04","ws/bt_2ax_emp/ws_s04_hit",0,"warrior",0,45,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,22,50,,"Great Strides",0,True,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,,22,4,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
52,"Infuriate",False,"ui/icon/002000/002555.tex","Ability",0,"","","ability/2ax_warrior/abl009","normal_hit/normal_hit",0,"warrior",0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,600,20,71,"突",0,"",0,"Stun",,,22,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
53,"Bootshine",False,"ui/icon/000000/000208.tex","Weaponskill",10,"","","ws/bt_clw_clw/ws_s02","normal_hit/normal_hit",0,"pugilist",0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,,"",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",41,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
54,"True Strike",False,"ui/icon/000000/000209.tex","Weaponskill",10,"","","ws/bt_clw_clw/ws_s03","normal_hit/normal_hit",0,"pugilist",0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,,"Shadowbind",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",41,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
55,"Featherfoot",False,"ui/icon/000000/000202.tex","Ability",0,"","","ability/clw_monk/abl001","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,900,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
56,"Snap Punch",False,"ui/icon/000000/000210.tex","Weaponskill",10,"","","ws/bt_clw_clw/ws_s05","normal_hit/normal_hit",0,"pugilist",0,6,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,,"Blunt Arrow",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",41,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
57,"Second Wind",False,"ui/icon/000000/000201.tex","Ability",2,"","","ability/clw_monk/abl002","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,1200,0,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
58,"Haymaker",False,"ui/icon/000000/000203.tex","Weaponskill",0,"","","ws/bt_clw_clw/wsh001","normal_hit/normal_hit",207,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
59,"Internal Release",False,"ui/icon/000000/000212.tex","Ability",0,"","","ability/clw_monk/abl003","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,600,5,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
60,"Fists of Earth",False,"ui/icon/000000/000206.tex","Ability",0,"","","ability/clw_monk/abl004","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,30,2,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
61,"Twin Snakes",False,"ui/icon/000000/000213.tex","Weaponskill",10,"","","ws/bt_clw_clw/ws_s06","normal_hit/normal_hit",0,"pugilist",0,18,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"Shadowbind",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",41,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
62,"Arm of the Destroyer",False,"ui/icon/000000/000215.tex","Weaponskill",10,"","","ability/clw_monk/abl007","normal_hit/normal_hit",0,"pugilist",0,26,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,,"Enthunder",0,False,0,0,25,58,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",41,4,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
63,"Fists of Fire",False,"ui/icon/000000/000205.tex","Ability",0,"","","ability/clw_monk/abl005","normal_hit/normal_hit",0,,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,30,2,0,"",0,"",0,"Stun",,"",0,1,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
64,"Steel Peak",False,"ui/icon/000000/000786.tex","Ability",0,"","","ws/bt_clw_clw/ws_s10","ability/clw_monk/abl007_hit",0,,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,400,4,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",0,2,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
