key,0
25.0,"Primal/Auspice Gear (IL 320-395)"
25.1,"Genta Gear (IL 320)"
25.2,"Genji Gear (IL 340-345)"
25.3,"Carborundum Gear (IL 350)"
25.4,"Ryumyaku Gear (IL 370)"
25.5,"Diamond Gear (IL 370-375)"
25.6,"Omicron Gear (IL 380)"
25.7,"Scaevan Gear (IL 400)"
25.8,"Omega Gear (IL 400-405)"
26.0,"Primal/Auspice Gear (IL 320-395)"
26.1,"Genta Gear (IL 320)"
26.2,"Genji Gear (IL 340-345)"
26.3,"Carborundum Gear (IL 350)"
26.4,"Ryumyaku Gear (IL 370)"
26.5,"Diamond Gear (IL 370-375)"
26.6,"Omicron Gear (IL 380)"
26.7,"Scaevan Gear (IL 400)"
26.8,"Omega Gear (IL 400-405)"
27.0,"Primal/Auspice Gear (IL 320-395)"
27.1,"Genta Gear (IL 320)"
27.2,"Genji Gear (IL 340-345)"
27.3,"Carborundum Gear (IL 350)"
27.4,"Ryumyaku Gear (IL 370)"
27.5,"Diamond Gear (IL 370-375)"
27.6,"Omicron Gear (IL 380)"
27.7,"Scaevan Gear (IL 400)"
27.8,"Omega Gear (IL 400-405)"
28.0,"Primal/Auspice Gear (IL 320-395)"
28.1,"Genta Gear (IL 320)"
28.2,"Genji Gear (IL 340-345)"
28.3,"Carborundum Gear (IL 350)"
28.4,"Ryumyaku Gear (IL 370)"
28.5,"Diamond Gear (IL 370-375)"
28.6,"Omicron Gear (IL 380)"
28.7,"Scaevan Gear (IL 400)"
28.8,"Omega Gear (IL 400-405)"
29.0,"Primal/Auspice Gear (IL 320-395)"
29.1,"Genta Gear (IL 320)"
29.2,"Genji Gear (IL 340-345)"
29.3,"Carborundum Gear (IL 350)"
29.4,"Ryumyaku Gear (IL 370)"
29.5,"Diamond Gear (IL 370-375)"
29.6,"Omicron Gear (IL 380)"
29.7,"Scaevan Gear (IL 400)"
29.8,"Omega Gear (IL 400-405)"
30.0,"Primal/Auspice Gear (IL 320-395)"
30.1,"Genta Gear (IL 320)"
30.2,"Genji Gear (IL 340-345)"
30.3,"Carborundum Gear (IL 350)"
30.4,"Ryumyaku Gear (IL 370)"
30.5,"Diamond Gear (IL 370-375)"
30.6,"Omicron Gear (IL 380)"
30.7,"Scaevan Gear (IL 400)"
30.8,"Omega Gear (IL 400-405)"
31.0,"Primal/Auspice Gear (IL 320-395)"
31.1,"Genta Gear (IL 320)"
31.2,"Genji Gear (IL 340-345)"
31.3,"Carborundum Gear (IL 350)"
31.4,"Ryumyaku Gear (IL 370)"
31.5,"Diamond Gear (IL 370-375)"
31.6,"Omicron Gear (IL 380)"
31.7,"Scaevan Gear (IL 400)"
31.8,"Omega Gear (IL 400-405)"
32.0,"Materials"
32.1,"Mounts/Miscellany"
32.2,"Materia I"
32.3,"Materia II"
33.0,"Tradecraft King Tools (IL 330)"
33.1,"Tradecraft King Gear (IL 330)"
33.2,"Handking Gear (IL 330-350)"
34.0,"Miscellany"
34.1,"Materials"
34.2,"Master Recipes I"
34.3,"Master Recipes II"
34.4,"Materia"
35.0,"Fieldcraft King Tools (IL 330)"
35.1,"Fieldcraft King Gear (IL 330)"
35.2,"Landking Gear (IL 330-350)"
36.0,"Bait/Miscellany"
36.1,"Materials"
36.2,"Folklore Items"
36.3,"Materia"
37.0,"Primal/Warden/Weapon Gear (IL 450-525)"
37.1,"Edengate Gear (IL 450)"
37.2,"Edengrace Gear (IL 470-475)"
37.3,"Edencall Gear (IL 480)"
37.4,"Idealized Gear (IL 480)"
37.5,"Crystarium Gear (IL 500)"
37.6,"Edenchoir Gear (IL 500-505)"
37.7,"Edenmete Gear (IL 510)"
37.8,"Cryptlurker Gear (IL 530)"
37.9,"Edenmorn Gear (IL 530-535)"
38.0,"Primal/Warden/Weapon Gear (IL 450-525)"
38.1,"Edengate Gear (IL 450)"
38.2,"Edengrace Gear (IL 470-475)"
38.3,"Edencall Gear (IL 480)"
38.4,"Idealized Gear (IL 480)"
38.5,"Crystarium Gear (IL 500)"
38.6,"Edenchoir Gear (IL 500-505)"
38.7,"Edenmete Gear (IL 510)"
38.8,"Cryptlurker Gear (IL 530)"
38.9,"Edenmorn Gear (IL 530-535)"
39.0,"Primal/Warden/Weapon Gear (IL 450-525)"
39.1,"Edengate Gear (IL 450)"
39.2,"Edengrace Gear (IL 470-475)"
39.3,"Edencall Gear (IL 480)"
39.4,"Idealized Gear (IL 480)"
39.5,"Crystarium Gear (IL 500)"
39.6,"Edenchoir Gear (IL 500-505)"
39.7,"Edenmete Gear (IL 510)"
39.8,"Cryptlurker Gear (IL 530)"
39.9,"Edenmorn Gear (IL 530-535)"
40.0,"Primal/Warden/Weapon Gear (IL 450-525)"
40.1,"Edengate Gear (IL 450)"
40.2,"Edengrace Gear (IL 470-475)"
40.3,"Edencall Gear (IL 480)"
40.4,"Idealized Gear (IL 480)"
40.5,"Crystarium Gear (IL 500)"
40.6,"Edenchoir Gear (IL 500-505)"
40.7,"Edenmete Gear (IL 510)"
40.8,"Cryptlurker Gear (IL 530)"
40.9,"Edenmorn Gear (IL 530-535)"
41.0,"Primal/Warden/Weapon Gear (IL 450-525)"
41.1,"Edengate Gear (IL 450)"
41.2,"Edengrace Gear (IL 470-475)"
41.3,"Edencall Gear (IL 480)"
41.4,"Idealized Gear (IL 480)"
41.5,"Crystarium Gear (IL 500)"
41.6,"Edenchoir Gear (IL 500-505)"
41.7,"Edenmete Gear (IL 510)"
41.8,"Cryptlurker Gear (IL 530)"
41.9,"Edenmorn Gear (IL 530-535)"
42.0,"Primal/Warden/Weapon Gear (IL 450-525)"
42.1,"Edengate Gear (IL 450)"
42.2,"Edengrace Gear (IL 470-475)"
42.3,"Edencall Gear (IL 480)"
42.4,"Idealized Gear (IL 480)"
42.5,"Crystarium Gear (IL 500)"
42.6,"Edenchoir Gear (IL 500-505)"
42.7,"Edenmete Gear (IL 510)"
42.8,"Cryptlurker Gear (IL 530)"
42.9,"Edenmorn Gear (IL 530-535)"
43.0,"Primal/Warden/Weapon Gear (IL 450-525)"
43.1,"Edengate Gear (IL 450)"
43.2,"Edengrace Gear (IL 470-475)"
43.3,"Edencall Gear (IL 480)"
43.4,"Idealized Gear (IL 480)"
43.5,"Crystarium Gear (IL 500)"
43.6,"Edenchoir Gear (IL 500-505)"
43.7,"Edenmete Gear (IL 510)"
43.8,"Cryptlurker Gear (IL 530)"
43.9,"Edenmorn Gear (IL 530-535)"
44.0,"Materials"
44.1,"Mounts/Miscellany"
44.2,"Materia I"
44.3,"Materia II"
45.0,"Tradecraft Fiend Gear (IL 440)"
45.1,"Professional Gear (IL 470)"
45.2,"Handsaint Gear (IL 500)"
46.0,"Miscellany"
46.1,"Materials"
46.2,"Master Recipes I"
46.3,"Master Recipes II"
46.4,"Materia"
47.0,"Fieldcraft Fiend Gear (IL 440)"
47.1,"Professional Gear (IL 470)"
47.2,"Landsaint Gear (IL 500)"
48.0,"Bait/Miscellany"
48.1,"Materials"
48.2,"Folklore Items"
48.3,"Materia"
49.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
49.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
49.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
49.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
49.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
49.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
49.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
49.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
49.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
49.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
49.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
50.0,"Purple Scrip Exchange (Master Recipes I)"
50.1,"Purple Scrip Exchange (Master Recipes II)"
50.2,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
50.3,"Purple Scrip Exchange (Lv. 50 Materials)"
50.4,"Purple Scrip Exchange (Lv. 60 Materials/Tokens)"
50.5,"Purple Scrip Exchange (Lv. 70 Materials)"
50.6,"Purple Scrip Exchange (Lv. 80 Materials)"
50.7,"Purple Scrip Exchange (Lv. 90 Materials)"
50.8,"Orange Scrip Exchange (Lv. 100 Materials/Furnishings)"
51.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
51.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
51.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
51.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
51.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
51.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
51.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
51.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
51.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
51.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
51.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
52.0,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
52.1,"Purple Scrip Exchange (Lv. 50 Materials/Bait)"
52.2,"Purple Scrip Exchange (Lv. 60 Materials/Bait/Tokens)"
52.3,"Purple Scrip Exchange (Lv. 70 Materials/Bait/Tokens)"
52.4,"Purple Scrip Exchange (Lv. 80 Materials/Bait/Tokens)"
52.5,"Purple Scrip Exchange (Lv. 90 Bait/Tokens)"
52.6,"Purple Scrip Exchange (Lv. 100 Folklore Items)"
52.7,"Orange Scrip Exchange (Lv. 100 Materials/Bait/Tokens)"
53.0,"Purple Scrip Exchange (Materia)"
53.1,"Orange Scrip Exchange (Materia)"
54.0,"Purple Scrip Exchange (Materia)"
54.1,"Orange Scrip Exchange (Materia)"
55.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
55.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
55.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
55.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
55.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
55.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
55.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
55.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
55.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
55.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
55.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
56.0,"Purple Scrip Exchange (Master Recipes I)"
56.1,"Purple Scrip Exchange (Master Recipes II)"
56.2,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
56.3,"Purple Scrip Exchange (Lv. 50 Materials)"
56.4,"Purple Scrip Exchange (Lv. 60 Materials/Tokens)"
56.5,"Purple Scrip Exchange (Lv. 70 Materials)"
56.6,"Purple Scrip Exchange (Lv. 80 Materials)"
56.7,"Purple Scrip Exchange (Lv. 90 Materials)"
56.8,"Orange Scrip Exchange (Lv. 100 Materials/Furnishings)"
57.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
57.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
57.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
57.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
57.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
57.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
57.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
57.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
57.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
57.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
57.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
58.0,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
58.1,"Purple Scrip Exchange (Lv. 50 Materials/Bait)"
58.2,"Purple Scrip Exchange (Lv. 60 Materials/Bait/Tokens)"
58.3,"Purple Scrip Exchange (Lv. 70 Materials/Bait/Tokens)"
58.4,"Purple Scrip Exchange (Lv. 80 Materials/Bait/Tokens)"
58.5,"Purple Scrip Exchange (Lv. 90 Bait/Tokens)"
58.6,"Purple Scrip Exchange (Lv. 100 Folklore Items)"
58.7,"Orange Scrip Exchange (Lv. 100 Materials/Bait/Tokens)"
59.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
59.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
59.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
59.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
59.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
59.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
59.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
59.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
59.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
59.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
59.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
60.0,"Purple Scrip Exchange (Master Recipes I)"
60.1,"Purple Scrip Exchange (Master Recipes II)"
60.2,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
60.3,"Purple Scrip Exchange (Lv. 50 Materials)"
60.4,"Purple Scrip Exchange (Lv. 60 Materials/Tokens)"
60.5,"Purple Scrip Exchange (Lv. 70 Materials)"
60.6,"Purple Scrip Exchange (Lv. 80 Materials)"
60.7,"Purple Scrip Exchange (Lv. 90 Materials)"
60.8,"Orange Scrip Exchange (Lv. 100 Materials/Furnishings)"
61.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
61.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
61.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
61.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
61.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
61.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
61.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
61.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
61.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
61.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
61.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
62.0,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
62.1,"Purple Scrip Exchange (Lv. 50 Materials/Bait)"
62.2,"Purple Scrip Exchange (Lv. 60 Materials/Bait/Tokens)"
62.3,"Purple Scrip Exchange (Lv. 70 Materials/Bait/Tokens)"
62.4,"Purple Scrip Exchange (Lv. 80 Materials/Bait/Tokens)"
62.5,"Purple Scrip Exchange (Lv. 90 Materials/Bait/Tokens)"
62.6,"Purple Scrip Exchange (Lv. 100 Folklore Items)"
62.7,"Orange Scrip Exchange (Lv. 100 Materials/Bait/Tokens)"
63.0,"Wolf Gear"
63.1,"Warwolf Gear"
63.2,"Direwolf Gear"
63.3,"Pack Gear"
63.4,"Packliege Gear"
63.5,"Beastlord Gear"
63.6,"Twelve Gear"
63.7,"Genyo Gear"
64.0,"Wolf Gear"
64.1,"Warwolf Gear"
64.2,"Direwolf Gear"
64.3,"Pack Gear"
64.4,"Packliege Gear"
64.5,"Beastlord Gear"
64.6,"Twelve Gear"
64.7,"Genyo Gear"
65.0,"Wolf Gear"
65.1,"Warwolf Gear"
65.2,"Direwolf Gear"
65.3,"Pack Gear"
65.4,"Packliege Gear"
65.5,"Beastlord Gear"
65.6,"Twelve Gear"
65.7,"Genyo Gear"
65.8,"Republican Gear"
65.9,"Late Allagan Gear"
66.0,"Wolf Gear"
66.1,"Warwolf Gear"
66.2,"Direwolf Gear"
66.3,"Pack Gear"
66.4,"Packliege Gear"
66.5,"Beastlord Gear"
66.6,"Twelve Gear"
66.7,"Genyo Gear"
66.8,"Republican Gear"
66.9,"Late Allagan Gear"
67.0,"Miscellaneous"
67.1,"Furnishings"
67.2,"Materia"
68.0,
69.0,
70.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
70.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
70.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
70.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
70.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
70.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
70.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
70.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
70.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
70.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
70.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
71.0,"Purple Scrip Exchange (Master Recipes I)"
71.1,"Purple Scrip Exchange (Master Recipes II)"
71.2,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
71.3,"Purple Scrip Exchange (Lv. 50 Materials)"
71.4,"Purple Scrip Exchange (Lv. 60 Materials/Tokens)"
71.5,"Purple Scrip Exchange (Lv. 70 Materials)"
71.6,"Purple Scrip Exchange (Lv. 80 Materials)"
71.7,"Purple Scrip Exchange (Lv. 90 Materials)"
71.8,"Orange Scrip Exchange (Lv. 100 Materials/Furnishings)"
72.0,"Purple Scrip Exchange (Lv. 58/IL 130)"
72.1,"Purple Scrip Exchange (Lv. 60/IL 200)"
72.2,"Purple Scrip Exchange (Lv. 70/IL 330)"
72.3,"Purple Scrip Exchange (Lv. 70/IL 350)"
72.4,"Purple Scrip Exchange (Lv. 80/IL 440)"
72.5,"Purple Scrip Exchange (Lv. 80/IL 470)"
72.6,"Purple Scrip Exchange (Lv. 80/IL 500)"
72.7,"Purple Scrip Exchange (Lv. 90/IL 570)"
72.8,"Purple Scrip Exchange (Lv. 90/IL 590)"
72.9,"Purple Scrip Exchange (Lv. 90/IL 620)"
72.10,"Orange Scrip Exchange (Lv. 100/IL 700)"
73.0,"Purple Scrip Exchange (Music/Furnishings/Misc.)"
73.1,"Purple Scrip Exchange (Lv. 50 Materials/Bait)"
73.2,"Purple Scrip Exchange (Lv. 60 Materials/Bait/Tokens)"
73.3,"Purple Scrip Exchange (Lv. 70 Materials/Bait/Tokens)"
73.4,"Purple Scrip Exchange (Lv. 80 Materials/Bait/Tokens)"
73.5,"Purple Scrip Exchange (Lv. 90 Materials/Bait/Tokens)"
73.6,"Purple Scrip Exchange (Lv. 100 Folklore Items)"
73.7,"Orange Scrip Exchange (Lv. 100 Materials/Bait/Tokens)"
74.0,"Extreme & Ultimate Gear (IL 580-635)"
74.1,"Limbo Gear (IL 580)"
74.2,"Asphodelos Gear (IL 600-605)"
74.3,"Purgatory Gear (IL 610)"
74.4,"The Thirteenth Gear (IL 615-655)"
74.5,"Lunar Envoy Gear (IL 630)"
74.6,"Abyssos Gear (IL 630-635)"
74.7,"Anabaseios Gear (IL 640)"
74.8,"Credendum Gear (IL 660)"
74.9,"Ascension Gear (IL 660-665)"
75.0,"Extreme & Ultimate Gear (IL 580-635)"
75.1,"Limbo Gear (IL 580)"
75.2,"Asphodelos Gear (IL 600-605)"
75.3,"Purgatory Gear (IL 610)"
75.4,"The Thirteenth Gear (IL 615-655)"
75.5,"Lunar Envoy Gear (IL 630)"
75.6,"Abyssos Gear (IL 630-635)"
75.7,"Anabaseios Gear (IL 640)"
75.8,"Credendum Gear (IL 660)"
75.9,"Ascension Gear (IL 660-665)"
76.0,"Extreme & Ultimate Gear (IL 580-635)"
76.1,"Limbo Gear (IL 580)"
76.2,"Asphodelos Gear (IL 600-605)"
76.3,"Purgatory Gear (IL 610)"
76.4,"The Thirteenth Gear (IL 615-655)"
76.5,"Lunar Envoy Gear (IL 630)"
76.6,"Abyssos Gear (IL 630-635)"
76.7,"Anabaseios Gear (IL 640)"
76.8,"Credendum Gear (IL 660)"
76.9,"Ascension Gear (IL 660-665)"
77.0,"Extreme & Ultimate Gear (IL 580-635)"
77.1,"Limbo Gear (IL 580)"
77.2,"Asphodelos Gear (IL 600-605)"
77.3,"Purgatory Gear (IL 610)"
77.4,"The Thirteenth Gear (IL 615-655)"
77.5,"Lunar Envoy Gear (IL 630)"
77.6,"Abyssos Gear (IL 630-635)"
77.7,"Anabaseios Gear (IL 640)"
77.8,"Credendum Gear (IL 660)"
77.9,"Ascension Gear (IL 660-665)"
78.0,"Extreme & Ultimate Gear (IL 580-635)"
78.1,"Limbo Gear (IL 580)"
78.2,"Asphodelos Gear (IL 600-605)"
78.3,"Purgatory Gear (IL 610)"
78.4,"The Thirteenth Gear (IL 615-655)"
78.5,"Lunar Envoy Gear (IL 630)"
78.6,"Abyssos Gear (IL 630-635)"
78.7,"Anabaseios Gear (IL 640)"
78.8,"Credendum Gear (IL 660)"
78.9,"Ascension Gear (IL 660-665)"
79.0,"Extreme & Ultimate Gear (IL 580-635)"
79.1,"Limbo Gear (IL 580)"
79.2,"Asphodelos Gear (IL 600-605)"
79.3,"Purgatory Gear (IL 610)"
79.4,"The Thirteenth Gear (IL 615-655)"
79.5,"Lunar Envoy Gear (IL 630)"
79.6,"Abyssos Gear (IL 630-635)"
79.7,"Anabaseios Gear (IL 640)"
79.8,"Credendum Gear (IL 660)"
79.9,"Ascension Gear (IL 660-665)"
80.0,"Extreme & Ultimate Gear (IL 580-635)"
80.1,"Limbo Gear (IL 580)"
80.2,"Asphodelos Gear (IL 600-605)"
80.3,"Purgatory Gear (IL 610)"
80.4,"The Thirteenth Gear (IL 615-655)"
80.5,"Lunar Envoy Gear (IL 630)"
80.6,"Abyssos Gear (IL 630-635)"
80.7,"Anabaseios Gear (IL 640)"
80.8,"Credendum Gear (IL 660)"
80.9,"Ascension Gear (IL 660-665)"
81.0,"Materials"
81.1,"Mounts/Miscellany"
81.2,"Materia I"
81.3,"Materia II"
82.0,"Soph Gear (IL 570)"
82.1,"Perfectionist Gear (IL 590)"
82.2,"Afflatus Gear (IL 620)"
83.0,"Miscellany"
83.1,"Materials"
83.2,"Master Recipes I"
83.3,"Master Recipes II"
83.4,"Materia"
84.0,"Soph Gear (IL 570)"
84.1,"Perfectionist Gear (IL 590)"
84.2,"Afflatus Gear (IL 620)"
85.0,"Bait/Miscellany"
85.1,"Materials"
85.2,"Folklore Items"
85.3,"Materia"
